# Raman tensor in 10^(-30) Cm^2/V
# mode: 37   phonon freq: 1220.564606
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.00000+0.00000j 0.000e+00+0.000e+00j -0.000e+00-0.000e+00j -0.000e+00-0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j
0.00951+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.830e+01+0.000e+00j 2.113e+01+0.000e+00j
0.01902+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.830e+01+0.000e+00j 2.113e+01+0.000e+00j
0.02854+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.208e-03+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.830e+01+0.000e+00j 2.113e+01+0.000e+00j
0.03805+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.243e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.838e+01+0.000e+00j 2.135e+01+0.000e+00j
0.04756+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.484e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.863e+01+0.000e+00j 2.199e+01+0.000e+00j
0.05707+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.250e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.838e+01+0.000e+00j 2.135e+01+0.000e+00j
0.06659+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.431e-03+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.830e+01+0.000e+00j 2.113e+01+0.000e+00j
0.07610+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.830e+01+0.000e+00j 2.113e+01+0.000e+00j
0.08561+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.830e+01+0.000e+00j 2.113e+01+0.000e+00j
0.09512+0.00000j 1.240e+00+0.000e+00j 0.000e+00+0.000e+00j 1.220e+00-2.611e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.838e+01+0.000e+00j 2.170e+01+0.000e+00j
0.10464+0.00000j 2.480e+00-3.003e-03j 0.000e+00+0.000e+00j 2.435e+00-5.215e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.863e+01+0.000e+00j 2.331e+01+0.000e+00j
0.11415+0.00000j 2.490e+00-6.563e-03j 1.237e+00+0.000e+00j 1.221e+00-2.625e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.839e+01+0.000e+00j 2.307e+01+0.000e+00j
0.12366+0.00000j 2.490e+00-3.593e-05j 2.483e+00+0.000e+00j 6.683e-03-1.437e-04j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.863e+01+0.000e+00j 2.336e+01+0.000e+00j
0.13317+0.00000j 1.250e+00+0.000e+00j 2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.855e+01+0.000e+00j 2.248e+01+0.000e+00j
0.14268+0.00000j 3.638e-03+0.000e+00j 2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.863e+01+0.000e+00j 2.199e+01+0.000e+00j
0.15220+0.00000j 1.237e+00+0.000e+00j 2.490e+00+0.000e+00j -3.905e-02-2.603e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.856e+01+0.000e+00j 2.246e+01+0.000e+00j
0.16171+0.00000j 2.477e+00+0.000e+00j 2.490e+00+0.000e+00j -7.821e-02-5.214e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.865e+01+0.000e+00j 2.332e+01+0.000e+00j
0.17122+0.00000j 1.250e+00+0.000e+00j 2.490e+00+0.000e+00j 1.194e+00-3.291e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.839e+01+0.000e+00j 2.306e+01+0.000e+00j
0.18073+0.00000j 1.024e-02+0.000e+00j 2.490e+00+0.000e+00j 2.480e+00-2.695e-04j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.863e+01+0.000e+00j 2.336e+01+0.000e+00j
0.19025+0.00000j 1.236e+00+0.000e+00j 2.490e+00+0.000e+00j 1.254e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.838e+01+0.000e+00j 2.309e+01+0.000e+00j
0.19976+0.00000j 2.483e+00+0.000e+00j 2.490e+00+0.000e+00j 7.069e-03+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.863e+01+0.000e+00j 2.336e+01+0.000e+00j
0.20927+0.00000j 1.251e+00+0.000e+00j 1.251e+00+0.000e+00j 1.181e+00-3.245e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.830e+01+0.000e+00j 2.217e+01+0.000e+00j
0.21878+0.00000j 3.844e-03+0.000e+00j 3.844e-03+0.000e+00j 2.369e+00-6.509e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.860e+01+0.000e+00j 2.192e+01+0.000e+00j
0.22830+0.00000j 1.230e+00+0.000e+00j 0.000e+00+0.000e+00j 2.431e+00-2.640e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.854e+01+0.000e+00j 2.243e+01+0.000e+00j
0.23781+0.00000j 2.477e+00+0.000e+00j 0.000e+00+0.000e+00j 2.490e+00-2.875e-04j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -7.471e+00+0.000e+00j 1.863e+01+0.000e+00j 2.335e+01+0.000e+00j
