# Raman tensor in 10^(-30) Cm^2/V
# mode: 63   phonon freq: 732.688948
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.00000+0.00000j 0.000e+00+0.000e+00j -0.000e+00-0.000e+00j -0.000e+00-0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j
0.00951+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.318e+00+0.000e+00j 1.168e+01+0.000e+00j
0.01901+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.318e+00+0.000e+00j 1.168e+01+0.000e+00j
0.02852+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 4.982e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.320e+00+0.000e+00j 1.168e+01+0.000e+00j
0.03803+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 6.228e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.100e+01+0.000e+00j 1.442e+01+0.000e+00j
0.04754+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 7.467e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.269e+01+0.000e+00j 1.724e+01+0.000e+00j
0.05704+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 6.227e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.100e+01+0.000e+00j 1.442e+01+0.000e+00j
0.06655+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 4.988e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.328e+00+0.000e+00j 1.170e+01+0.000e+00j
0.07606+0.00000j -1.252e+00+0.000e+00j 0.000e+00+0.000e+00j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.075e+00+0.000e+00j 1.155e+01+0.000e+00j
0.08556+0.00000j -5.660e-03+0.000e+00j 0.000e+00+0.000e+00j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 7.047e+00+0.000e+00j 1.220e+01+0.000e+00j
0.09507+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 7.043e+00+0.000e+00j 1.220e+01+0.000e+00j
0.10458+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 7.043e+00+0.000e+00j 1.220e+01+0.000e+00j
0.11409+0.00000j -1.242e+00+0.000e+00j 0.000e+00+0.000e+00j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.067e+00+0.000e+00j 1.155e+01+0.000e+00j
0.12359+0.00000j -2.488e+00+0.000e+00j 0.000e+00+0.000e+00j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.316e+00+0.000e+00j 1.168e+01+0.000e+00j
0.13310+0.00000j -1.253e+00+0.000e+00j 0.000e+00+0.000e+00j 4.948e+00-2.605e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.031e+00+0.000e+00j 1.147e+01+0.000e+00j
0.14261+0.00000j -1.311e-02+0.000e+00j 0.000e+00+0.000e+00j 4.915e+00-5.215e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 6.961e+00+0.000e+00j 1.203e+01+0.000e+00j
0.15211+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 4.941e+00-2.633e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 6.988e+00+0.000e+00j 1.210e+01+0.000e+00j
0.16162+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 4.980e+00-2.371e-04j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 7.043e+00+0.000e+00j 1.220e+01+0.000e+00j
0.17113+0.00000j -1.235e+00+0.000e+00j -1.235e+00+0.000e+00j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.790e+00+0.000e+00j 1.114e+01+0.000e+00j
0.18063+0.00000j -2.481e+00+0.000e+00j -2.481e+00+0.000e+00j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.055e+01+0.000e+00j 1.218e+01+0.000e+00j
0.19014+0.00000j -1.254e+00+0.000e+00j -2.490e+00+0.000e+00j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.808e+00+0.000e+00j 1.155e+01+0.000e+00j
