# Raman tensor in 10^(-30) Cm^2/V
# mode: 71   phonon freq: 586.551853
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.00000+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -0.000e+00-0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j
0.00951+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.984e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.635e+01+0.000e+00j 9.760e+01+0.000e+00j
0.01901+0.00000j -1.246e+00+0.000e+00j 0.000e+00+0.000e+00j 3.984e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.725e+01+0.000e+00j 9.662e+01+0.000e+00j
0.02852+0.00000j -2.488e+00+0.000e+00j 0.000e+00+0.000e+00j 3.985e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.819e+01+0.000e+00j 9.574e+01+0.000e+00j
0.03803+0.00000j -1.242e+00+0.000e+00j 0.000e+00+0.000e+00j 4.109e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.901e+01+0.000e+00j 9.968e+01+0.000e+00j
0.04754+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 4.233e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.987e+01+0.000e+00j 1.037e+02+0.000e+00j
0.05704+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 4.233e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.987e+01+0.000e+00j 1.037e+02+0.000e+00j
0.06655+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 4.233e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.987e+01+0.000e+00j 1.037e+02+0.000e+00j
0.07606+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 4.110e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.812e+01+0.000e+00j 1.007e+02+0.000e+00j
0.08557+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.985e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.636e+01+0.000e+00j 9.761e+01+0.000e+00j
0.09507+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.984e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.635e+01+0.000e+00j 9.760e+01+0.000e+00j
0.10458+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.984e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.635e+01+0.000e+00j 9.760e+01+0.000e+00j
0.11409+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.984e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.635e+01+0.000e+00j 9.760e+01+0.000e+00j
0.12359+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.984e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.635e+01+0.000e+00j 9.760e+01+0.000e+00j
0.13310+0.00000j -6.515e-03+0.000e+00j 0.000e+00+0.000e+00j 3.981e+01-2.606e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.631e+01+0.000e+00j 9.751e+01+0.000e+00j
0.14261+0.00000j -1.279e-02+0.000e+00j -2.445e-04+0.000e+00j 3.978e+01-5.215e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.626e+01+0.000e+00j 9.743e+01+0.000e+00j
