# Raman tensor in 10^(-30) Cm^2/V
# mode: 79   phonon freq: 472.833232
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.00000+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j
0.00951+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.465e+01+0.000e+00j 2.883e+01+0.000e+00j
0.01902+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -1.244e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.446e+01+0.000e+00j 2.834e+01+0.000e+00j
0.02852+0.00000j 0.000e+00+1.102e-05j 0.000e+00+0.000e+00j 1.102e-05+4.407e-05j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.03803+0.00000j 0.000e+00+6.535e-03j 0.000e+00+0.000e+00j 6.535e-03+2.614e-02j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.04754+0.00000j 0.000e+00+8.852e-03j 0.000e+00+0.000e+00j 1.722e-02+5.215e-02j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.05705+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.312e-02+2.624e-02j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.06656+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 7.114e-05+1.423e-04j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.07606+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.08557+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.09508+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -1.241e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.446e+01+0.000e+00j 2.834e+01+0.000e+00j
0.10459+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -2.488e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.465e+01+0.000e+00j 2.883e+01+0.000e+00j
0.11410+0.00000j 6.511e-03+6.511e-03j 0.000e+00+0.000e+00j -2.464e+00+2.604e-02j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.465e+01+0.000e+00j 2.881e+01+0.000e+00j
