# Raman tensor in 10^(-30) Cm^2/V
# mode: 76   phonon freq: 491.7004
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.00000+0.00000j 0.000e+00+0.000e+00j -0.000e+00-0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j
0.00950+0.00000j 2.490e+00+0.000e+00j 0.000e+00+0.000e+00j -1.494e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.309e+01+0.000e+00j 3.504e+01+0.000e+00j
0.01901+0.00000j 2.490e+00+0.000e+00j 0.000e+00+0.000e+00j -1.370e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.135e+01+0.000e+00j 3.203e+01+0.000e+00j
0.02851+0.00000j 2.490e+00+6.109e-06j 0.000e+00+0.000e+00j -1.245e+01+2.444e-05j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.961e+01+0.000e+00j 2.904e+01+0.000e+00j
0.03802+0.00000j 2.490e+00+6.528e-03j 0.000e+00+0.000e+00j -1.244e+01+2.611e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.960e+01+0.000e+00j 2.903e+01+0.000e+00j
0.04752+0.00000j 2.490e+00+1.072e-02j 0.000e+00+0.000e+00j -1.244e+01+5.220e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.959e+01+0.000e+00j 2.900e+01+0.000e+00j
0.05703+0.00000j 1.255e+00+0.000e+00j 0.000e+00+0.000e+00j -1.242e+01+5.243e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.852e+01+0.000e+00j 2.955e+01+0.000e+00j
0.06653+0.00000j 9.606e-03+0.000e+00j 0.000e+00+0.000e+00j -1.243e+01+5.583e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.758e+01+0.000e+00j 3.043e+01+0.000e+00j
0.07604+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -1.367e+01+3.283e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.934e+01+0.000e+00j 3.349e+01+0.000e+00j
0.08554+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -1.493e+01+2.209e-04j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.112e+01+0.000e+00j 3.658e+01+0.000e+00j
0.09504+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -1.492e+01+2.591e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.109e+01+0.000e+00j 3.654e+01+0.000e+00j
