# Raman tensor in 10^(-30) Cm^2/V
# mode: 90   phonon freq: 211.331391
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.00000+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -0.000e+00-0.000e+00j 6.466e-310+6.466e-310j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j
0.00951+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j -2.490e+00+0.000e+00j 2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 7.043e+00+0.000e+00j 1.220e+01+0.000e+00j
0.01902+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j -3.736e+00+0.000e+00j 2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 7.676e+00+0.000e+00j 1.442e+01+0.000e+00j
0.02852+0.00000j -2.488e+00+1.098e-05j 0.000e+00+0.000e+00j -4.980e+00+4.393e-05j 2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.626e+00+0.000e+00j 1.689e+01+0.000e+00j
0.03803+0.00000j -1.242e+00+6.535e-03j 0.000e+00+0.000e+00j -4.974e+00+2.614e-02j 2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.799e+00+0.000e+00j 1.523e+01+0.000e+00j
0.04754+0.00000j 0.000e+00+8.865e-03j 0.000e+00+0.000e+00j -4.963e+00+5.215e-02j 2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.299e+00+0.000e+00j 1.405e+01+0.000e+00j
0.05705+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -4.967e+00+2.624e-02j 2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.304e+00+0.000e+00j 1.406e+01+0.000e+00j
0.06656+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -4.980e+00+1.427e-04j 2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.318e+00+0.000e+00j 1.409e+01+0.000e+00j
0.07606+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -3.728e+00+3.244e-02j 2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.063e+00+0.000e+00j 1.153e+01+0.000e+00j
0.08557+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j -2.469e+00+6.507e-02j 2.490e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 7.029e+00+0.000e+00j 9.285e+00+0.000e+00j
