# Raman tensor in 10^(-30) Cm^2/V
# mode: 88   phonon freq: 266.569859
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.00000+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j
0.00951+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j -2.490e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.360e+01+0.000e+00j 6.329e+01+0.000e+00j
0.01902+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j -2.366e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.184e+01+0.000e+00j 6.025e+01+0.000e+00j
0.02852+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j -2.241e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.009e+01+0.000e+00j 5.722e+01+0.000e+00j
0.03803+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j -2.241e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.009e+01+0.000e+00j 5.722e+01+0.000e+00j
0.04754+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j -2.241e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.009e+01+0.000e+00j 5.722e+01+0.000e+00j
0.05705+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j -2.241e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.009e+01+0.000e+00j 5.722e+01+0.000e+00j
0.06655+0.00000j -2.490e+00+0.000e+00j 0.000e+00+0.000e+00j -2.241e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.009e+01+0.000e+00j 5.722e+01+0.000e+00j
0.07606+0.00000j -1.251e+00+0.000e+00j 0.000e+00+0.000e+00j -2.241e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.085e+01+0.000e+00j 5.599e+01+0.000e+00j
0.08557+0.00000j -5.083e-03+0.000e+00j 0.000e+00+0.000e+00j -2.241e+01+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 3.169e+01+0.000e+00j 5.490e+01+0.000e+00j
