# Raman tensor in 10^(-30) Cm^2/V
# mode: 15   phonon freq: 1599.555839
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.00000+0.00000j 0.000e+00+0.000e+00j -0.000e+00-0.000e+00j 0.000e+00+0.000e+00j 6.466e-310+6.466e-310j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j
0.00950+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 1.868e+02+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.607e+02+0.000e+00j 4.617e+02+0.000e+00j
0.01901+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 1.868e+02+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.607e+02+0.000e+00j 4.617e+02+0.000e+00j
0.02851+0.00000j 4.980e+00-4.839e-06j 0.000e+00+0.000e+00j 1.868e+02-1.936e-05j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.607e+02+0.000e+00j 4.617e+02+0.000e+00j
0.03801+0.00000j 4.980e+00-6.526e-03j 0.000e+00+0.000e+00j 1.868e+02-2.610e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.607e+02+0.000e+00j 4.617e+02+0.000e+00j
0.04752+0.00000j 4.980e+00-1.120e-02j 0.000e+00+0.000e+00j 1.868e+02-5.219e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.607e+02+0.000e+00j 4.617e+02+0.000e+00j
0.05702+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 1.867e+02+1.182e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.606e+02+0.000e+00j 4.616e+02+0.000e+00j
0.06652+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 1.867e+02+2.427e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.607e+02+0.000e+00j 4.617e+02+0.000e+00j
0.07603+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 1.867e+02+2.438e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.606e+02+0.000e+00j 4.616e+02+0.000e+00j
0.08553+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 1.867e+02+2.438e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 2.606e+02+0.000e+00j 4.616e+02+0.000e+00j
