# Raman tensor in 10^(-30) Cm^2/V
# mode: 8   phonon freq: 3111.638698
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.21869+0.00000j 7.468e+00+0.000e+00j 2.490e+00+0.000e+00j 7.473e+00+2.488e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 7.873e+00+0.000e+00j 3.341e+01+0.000e+00j
0.22820+0.00000j 6.234e+00+0.000e+00j 1.253e+00+0.000e+00j 7.471e+00+1.253e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.254e+00+0.000e+00j 2.901e+01+0.000e+00j
0.23770+0.00000j 4.994e+00+0.000e+00j 1.361e-02+0.000e+00j 7.471e+00+1.361e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.303e+00+0.000e+00j 2.519e+01+0.000e+00j
0.24721+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.318e+00+0.000e+00j 2.515e+01+0.000e+00j
0.25672+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.318e+00+0.000e+00j 2.515e+01+0.000e+00j
0.26623+0.00000j 6.215e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.799e+00+0.000e+00j 2.743e+01+0.000e+00j
0.27574+0.00000j 7.461e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.056e+01+0.000e+00j 2.986e+01+0.000e+00j
0.28524+0.00000j 6.234e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.808e+00+0.000e+00j 2.747e+01+0.000e+00j
0.29475+0.00000j 4.988e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.320e+00+0.000e+00j 2.516e+01+0.000e+00j
0.30426+0.00000j 4.974e+00+0.000e+00j 0.000e+00+0.000e+00j 8.625e+00-3.243e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.061e+01+0.000e+00j 2.768e+01+0.000e+00j
