  # energy grid [eV]     epsr     epsi
       0.001000       6.549013       0.000032
       0.031029       6.549164       0.000978
       0.061058       6.549599       0.001925
       0.091087       6.550318       0.002873
       0.121116       6.551322       0.003822
       0.151145       6.552610       0.004772
       0.181174       6.554183       0.005725
       0.211203       6.556043       0.006681
       0.241232       6.558189       0.007639
       0.271261       6.560624       0.008601
       0.301290       6.563347       0.009567
       0.331319       6.566360       0.010538
       0.361348       6.569665       0.011513
       0.391377       6.573263       0.012493
       0.421406       6.577156       0.013479
       0.451435       6.581345       0.014471
       0.481464       6.585833       0.015470
       0.511493       6.590621       0.016476
       0.541523       6.595712       0.017490
       0.571552       6.601108       0.018512
       0.601581       6.606812       0.019543
       0.631610       6.612825       0.020583
       0.661639       6.619153       0.021633
       0.691668       6.625796       0.022693
       0.721697       6.632758       0.023765
       0.751726       6.640044       0.024848
       0.781755       6.647656       0.025943
       0.811784       6.655597       0.027051
       0.841813       6.663873       0.028172
       0.871842       6.672487       0.029308
       0.901871       6.681443       0.030458
       0.931900       6.690747       0.031624
       0.961929       6.700402       0.032807
       0.991958       6.710413       0.034006
       1.021987       6.720787       0.035223
       1.052016       6.731528       0.036459
       1.082045       6.742642       0.037715
       1.112074       6.754136       0.038991
       1.142103       6.766014       0.040289
       1.172132       6.778285       0.041609
       1.202161       6.790954       0.042952
       1.232190       6.804029       0.044319
       1.262219       6.817517       0.045713
       1.292248       6.831426       0.047132
       1.322277       6.845765       0.048580
       1.352306       6.860541       0.050057
       1.382335       6.875763       0.051564
       1.412364       6.891442       0.053103
       1.442393       6.907586       0.054675
       1.472422       6.924205       0.056282
       1.502451       6.941310       0.057925
       1.532480       6.958913       0.059606
       1.562510       6.977024       0.061327
       1.592539       6.995657       0.063090
       1.622568       7.014822       0.064895
       1.652597       7.034535       0.066747
       1.682626       7.054808       0.068646
       1.712655       7.075656       0.070595
       1.742684       7.097095       0.072596
       1.772713       7.119139       0.074652
       1.802742       7.141807       0.076766
       1.832771       7.165115       0.078940
       1.862800       7.189082       0.081178
       1.892829       7.213727       0.083483
       1.922858       7.239071       0.085857
       1.952887       7.265135       0.088306
       1.982916       7.291941       0.090831
       2.012945       7.319513       0.093439
       2.042974       7.347875       0.096133
       2.073003       7.377055       0.098918
       2.103032       7.407079       0.101799
       2.133061       7.437978       0.104781
       2.163090       7.469781       0.107871
       2.193119       7.502521       0.111073
       2.223148       7.536233       0.114397
       2.253177       7.570954       0.117847
       2.283206       7.606722       0.121433
       2.313235       7.643579       0.125162
       2.343264       7.681567       0.129045
       2.373293       7.720734       0.133090
       2.403322       7.761128       0.137308
       2.433351       7.802803       0.141712
